Date,Open,High,Low,Close,Adj Close,Volume
2021/10/24,61368.34375,61505.80469,59643.34375,60930.83594,60930.83594,27316183882
2021/10/25,60893.92578,63729.32422,60691.80078,63039.82422,63039.82422,31064911614
2021/10/26,63032.76172,63229.02734,59991.16016,60363.79297,60363.79297,34878965587
2021/10/27,60352,61435.18359,58208.1875,58482.38672,58482.38672,43657076893
2021/10/28,58470.73047,62128.63281,58206.91797,60622.13672,60622.13672,45257083247
2021/10/29,60624.87109,62927.60938,60329.96484,62227.96484,62227.96484,36856881767
2021/10/30,62239.36328,62330.14453,60918.38672,61888.83203,61888.83203,32157938616
2021/10/31,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927
2021/11/1,61320.44922,62419.00391,59695.18359,61004.40625,61004.40625,36150572843
2021/11/2,60963.25391,64242.79297,60673.05469,63226.40234,63226.40234,37746665647
2021/11/3,63254.33594,63516.9375,61184.23828,62970.04688,62970.04688,36124731509
2021/11/4,62941.80469,63123.28906,60799.66406,61452.23047,61452.23047,32615846901
2021/11/5,61460.07813,62541.46875,60844.60938,61125.67578,61125.67578,30605102446
2021/11/6,61068.875,61590.68359,60163.78125,61527.48047,61527.48047,29094934221
2021/11/7,61554.92188,63326.98828,61432.48828,63326.98828,63326.98828,24726754302
2021/11/8,63344.06641,67673.74219,63344.06641,67566.82813,67566.82813,41125608330
2021/11/9,67549.73438,68530.33594,66382.0625,66971.82813,66971.82813,42357991721
2021/11/10,66953.33594,68789.625,63208.11328,64995.23047,64995.23047,48730828378
2021/11/11,64978.89063,65579.01563,64180.48828,64949.96094,64949.96094,35880633236
2021/11/12,64863.98047,65460.81641,62333.91406,64155.94141,64155.94141,36084893887
2021/11/13,64158.12109,64915.67578,63303.73438,64469.52734,64469.52734,30474228777
2021/11/14,64455.37109,65495.17969,63647.80859,65466.83984,65466.83984,25122092191
2021/11/15,65521.28906,66281.57031,63548.14453,63557.87109,63557.87109,30558763548
2021/11/16,63721.19531,63721.19531,59016.33594,60161.24609,60161.24609,46844335592
2021/11/17,60139.62109,60823.60938,58515.41016,60368.01172,60368.01172,39178392930
2021/11/18,60360.13672,60948.5,56550.79297,56942.13672,56942.13672,41388338699
2021/11/19,56896.12891,58351.11328,55705.17969,58119.57813,58119.57813,38702407772
2021/11/20,58115.08203,59859.87891,57469.72656,59697.19531,59697.19531,30624264863
2021/11/21,59730.50781,60004.42578,58618.92969,58730.47656,58730.47656,26123447605
2021/11/22,58706.84766,59266.35938,55679.83984,56289.28906,56289.28906,35036121783
2021/11/23,56304.55469,57875.51563,55632.76172,57569.07422,57569.07422,37485803899
2021/11/24,57565.85156,57803.06641,55964.22266,56280.42578,56280.42578,36635566789
2021/11/25,57165.41797,59367.96875,57146.68359,57274.67969,57274.67969,34284016248
2021/11/26,58960.28516,59183.48047,53569.76563,53569.76563,53569.76563,41810748221
2021/11/27,53736.42969,55329.25781,53668.35547,54815.07813,54815.07813,30560857714
2021/11/28,54813.02344,57393.84375,53576.73438,57248.45703,57248.45703,28116886357
2021/11/29,57291.90625,58872.87891,56792.52734,57806.56641,57806.56641,32370840356
2021/11/30,57830.11328,59113.40234,56057.28125,57005.42578,57005.42578,36708594618
2021/12/1,56907.96484,59041.68359,56553.08203,57229.82813,57229.82813,36858195307
2021/12/2,57217.37109,57349.23438,55895.13281,56477.81641,56477.81641,32379968686
2021/12/3,56509.16406,57482.16797,52496.58594,53598.24609,53598.24609,39789134215
2021/12/4,53727.87891,53904.67969,42874.61719,49200.70313,49200.70313,61385677469
2021/12/5,49201.51953,49768.14844,47857.49609,49368.84766,49368.84766,37198201161
2021/12/6,49413.48047,50929.51953,47281.03516,50582.625,50582.625,37707308001
2021/12/7,50581.82813,51934.78125,50175.80859,50700.08594,50700.08594,33676814852
2021/12/8,50667.64844,51171.375,48765.98828,50504.79688,50504.79688,28479699446
2021/12/9,50450.08203,50797.16406,47358.35156,47672.12109,47672.12109,29603577251
2021/12/10,47642.14453,50015.25391,47023.69922,47243.30469,47243.30469,30966005122
2021/12/11,47264.63281,49458.21094,46942.34766,49362.50781,49362.50781,25775869261
